term,date,count
disinformation,1984-10,3
disinformation,1984-11,16
disinformation,1984-12,9
disinformation,1985-01,2
disinformation,1985-02,7
disinformation,1985-03,9
disinformation,1985-04,18
disinformation,1985-05,12
disinformation,1985-06,15
disinformation,1985-07,4
disinformation,1985-08,8
disinformation,1985-09,12
disinformation,1985-10,13
disinformation,1985-11,21
disinformation,1985-12,23
disinformation,1986-01,19
disinformation,1986-02,35
disinformation,1986-03,38
disinformation,1986-04,12
disinformation,1986-05,12
disinformation,1986-06,12
disinformation,1986-07,11
disinformation,1986-08,14
disinformation,1986-09,7
disinformation,1986-10,316
disinformation,1986-11,112
disinformation,1986-12,48
disinformation,1987-01,39
disinformation,1987-02,45
disinformation,1987-03,37
disinformation,1987-04,41
disinformation,1987-05,33
disinformation,1987-06,17
disinformation,1987-07,20
disinformation,1987-08,34
disinformation,1987-09,27
disinformation,1987-10,88
disinformation,1987-11,27
disinformation,1987-12,23
disinformation,1988-01,21
disinformation,1988-02,15
disinformation,1988-03,20
disinformation,1988-04,9
disinformation,1988-05,26
disinformation,1988-06,12
disinformation,1988-07,11
disinformation,1988-08,18
disinformation,1988-09,15
disinformation,1988-10,32
disinformation,1988-11,8
disinformation,1988-12,10
disinformation,1989-01,13
disinformation,1989-02,12
disinformation,1989-03,15
disinformation,1989-04,16
disinformation,1989-05,30
disinformation,1989-06,10
disinformation,1989-07,17
disinformation,1989-08,14
disinformation,1989-09,14
disinformation,1989-10,10
disinformation,1989-11,16
disinformation,1989-12,19
disinformation,1990-01,14
disinformation,1990-02,12
disinformation,1990-03,16
disinformation,1990-04,11
disinformation,1990-05,13
disinformation,1990-06,9
disinformation,1990-07,14
disinformation,1990-08,10
disinformation,1990-09,27
disinformation,1990-10,21
disinformation,1990-11,8
disinformation,1990-12,19
disinformation,1991-01,37
disinformation,1991-02,33
disinformation,1991-03,25
disinformation,1991-04,9
disinformation,1991-05,11
disinformation,1991-06,25
disinformation,1991-07,30
disinformation,1991-08,27
disinformation,1991-09,17
disinformation,1991-10,20
disinformation,1991-11,14
disinformation,1991-12,10
disinformation,1992-01,14
disinformation,1992-02,23
disinformation,1992-03,12
disinformation,1992-04,16
disinformation,1992-05,12
disinformation,1992-06,13
disinformation,1992-07,16
disinformation,1992-08,13
disinformation,1992-09,20
disinformation,1992-10,17
disinformation,1992-11,10
disinformation,1992-12,21
disinformation,1993-01,8
disinformation,1993-02,13
disinformation,1993-03,7
disinformation,1993-04,10
disinformation,1993-05,8
disinformation,1993-06,12
disinformation,1993-07,11
disinformation,1993-08,18
disinformation,1993-09,13
disinformation,1993-10,15
disinformation,1993-11,9
disinformation,1993-12,10
disinformation,1994-01,23
disinformation,1994-02,7
disinformation,1994-03,20
disinformation,1994-04,15
disinformation,1994-05,14
disinformation,1994-06,5
disinformation,1994-07,33
disinformation,1994-08,23
disinformation,1994-09,5
disinformation,1994-10,21
disinformation,1994-11,13
disinformation,1994-12,17
disinformation,1995-01,10
disinformation,1995-02,4
disinformation,1995-03,15
disinformation,1995-04,8
disinformation,1995-05,9
disinformation,1995-06,7
disinformation,1995-07,23
disinformation,1995-08,17
disinformation,1995-09,13
disinformation,1995-10,20
disinformation,1995-11,47
disinformation,1995-12,22
disinformation,1996-01,14
disinformation,1996-02,15
disinformation,1996-03,14
disinformation,1996-04,8
disinformation,1996-05,6
disinformation,1996-06,8
disinformation,1996-07,21
disinformation,1996-08,7
disinformation,1996-09,13
disinformation,1996-10,9
disinformation,1996-11,9
disinformation,1996-12,3
disinformation,1997-01,14
disinformation,1997-02,12
disinformation,1997-03,12
disinformation,1997-04,5
disinformation,1997-05,8
disinformation,1997-06,15
disinformation,1997-07,11
